,Unnamed: 0,record_date,avg_outflow,Unnamed: 0,record_date,avg_inflow,feeder1_kwh,feeder2_kwh,Ammonia_mg_L_1,BOD_mg_L_1,COD_mg_L_1,Nitrogentotal_mg_L_1,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,year,month,day,record_date
0,0,2009-01-01,2.9412818181818183,0,2009-01-01,2.5889181818181815,105695,70161,27.0,365.0,730.0,60.37784,19.3,25.1,12.6,0.0,56,1.52,10.0,26.9,53.5,79.5,2014,1,1,01-01-2014
1,1,2009-02-01,2.935526086956522,1,2009-02-01,2.9611782608695654,111836,69788,25.0,370.0,740.0,60.02615,17.1,23.6,12.3,0.0,63,0.0,10.0,14.4,27.8,0.0,2014,1,2,02-01-2014
2,2,2009-03-01,2.9282217391304344,2,2009-03-01,3.2253086956521737,140088,61928,42.0,418.0,836.0,64.52231,16.8,27.2,8.8,0.0,47,0.25,10.0,31.9,61.1,77.8,2014,1,5,05-01-2014
3,3,2009-04-01,2.9279608695652173,3,2009-04-01,3.3540913043478264,140121,67426,36.0,430.0,850.0,63.0,14.6,19.9,11.1,0.0,49,0.0,10.0,27.0,38.9,53.5,2014,1,6,06-01-2014
4,4,2009-05-01,2.917221739130435,4,2009-05-01,3.7940043478260868,135260,67564,46.0,508.0,1016.0,65.59026999999999,13.4,19.1,8.0,0.0,65,0.0,10.0,20.6,35.2,53.5,2014,1,7,07-01-2014
5,5,2009-06-01,2.911569565217392,5,2009-06-01,3.7501782608695637,164094,83597,40.0,410.0,820.0,61.78566,18.9,27.3,7.7,0.0,52,0.0,0.0,15.6,31.7,0.0,2014,1,8,08-01-2014
6,6,2009-07-01,2.3550043478260867,6,2009-07-01,3.5067,147041,77665,51.0,555.0,1110.0,68.82016999999999,25.9,32.4,12.1,0.0,39,0.0,0.0,26.7,46.5,59.4,2014,1,9,09-01-2014
7,7,2009-08-01,2.3656565217391314,7,2009-08-01,3.187569565217392,145786,66654,41.0,365.0,730.0,62.217569999999995,17.7,24.6,13.0,0.0,69,0.0,9.8,13.1,25.9,0.0,2014,1,12,12-01-2014
8,8,2009-09-01,3.9233086956521737,8,2009-09-01,3.377786956521738,133716,68960,26.0,355.0,710.0,61.43322,26.4,36.0,12.7,0.0,44,0.0,0.0,19.8,51.9,64.8,2014,1,13,13-01-2014
9,9,2009-10-01,3.912004347826087,9,2009-10-01,3.424656521739131,130663,71748,42.0,530.0,830.0,66.35405,35.5,43.5,28.5,0.0,20,0.0,0.0,27.8,57.6,72.2,2014,1,14,14-01-2014
